"Video","Frame","Truth"
"FH102_02",2,"Negative"
"FH102_02",3,"Negative"
"FH102_02",4,"Negative"
"FH102_02",5,"Negative"
"FH102_02",6,"Negative"
"FH102_02",7,"Negative"
"FH102_02",9,"Negative"
"FH102_02",17,"Negative"
"FH102_02",35,"Negative"
"FH102_02",38,"Negative"
"FH102_02",42,"Negative"
"FH102_02",47,"Negative"
"FH102_02",48,"Negative"
"FH102_02",49,"Negative"
"FH102_02",50,"Negative"
"FH102_02",52,"Negative"
"FH102_02",53,"Negative"
"FH102_02",54,"Negative"
"FH102_02",55,"Negative"
"FH102_02",56,"Negative"
"FH102_02",57,"Negative"
"FH102_02",59,"Negative"
"FH102_02",61,"Negative"
"FH102_02",66,"Negative"
"FH102_02",67,"Negative"
"FH102_02",69,"Negative"
"FH102_02",70,"Negative"
"FH102_02",74,"Negative"
"FH102_02",75,"Negative"
"FH102_02",76,"Negative"
"FH102_02",79,"Negative"
"FH102_02",83,"Negative"
"FH102_02",85,"Negative"
"FH102_02",86,"Negative"
"FH102_02",90,"Negative"
"FH102_02",103,"Negative"
"FH102_02",115,"Negative"
"FH102_02",117,"Negative"
"FH102_02",131,"Negative"
"FH102_02",142,"Negative"
"FH102_02",143,"Negative"
"FH102_02",144,"Negative"
"FH102_02",146,"Negative"
"FH102_02",161,"Negative"
"FH102_02",183,"Negative"
"FH102_02",203,"Negative"
"FH102_02",205,"Negative"
"FH102_02",272,"Negative"
"FH102_02",274,"Negative"
"FH102_02",287,"Negative"
"FH102_02",288,"Negative"
"FH102_02",296,"Negative"
"FH102_02",315,"Negative"
"FH102_02",317,"Negative"
"FH102_02",318,"Negative"
"FH102_02",319,"Negative"
"FH102_02",320,"Negative"
"FH102_02",321,"Negative"
"FH102_02",322,"Negative"
"FH102_02",324,"Negative"
"FH102_02",328,"Negative"
"FH102_02",329,"Negative"
"FH102_02",332,"Negative"
"FH102_02",337,"Negative"
"FH102_02",353,"Negative"
"FH102_02",365,"Negative"
"FH102_02",369,"Negative"
"FH102_02",378,"Negative"
"FH102_02",419,"Negative"
"FH102_02",420,"Negative"
"FH102_02",421,"Negative"
"FH102_02",422,"Negative"
"FH102_02",426,"Negative"
"FH102_02",433,"Negative"
"FH102_02",441,"Negative"
"FH102_02",459,"Negative"
"FH102_02",471,"Negative"
"FH102_02",473,"Negative"
"FH102_02",475,"Negative"
"FH102_02",478,"Negative"
"FH102_02",483,"Negative"
"FH102_02",484,"Negative"
"FH102_02",485,"Negative"
"FH102_02",507,"Negative"
"FH102_02",546,"Negative"
"FH102_02",568,"Negative"
"FH102_02",574,"Negative"
"FH102_02",583,"Negative"
"FH102_02",591,"Negative"
"FH102_02",593,"Negative"
"FH102_02",597,"Negative"
"FH102_02",693,"Negative"
"FH102_02",700,"Negative"
"FH102_02",703,"Negative"
"FH102_02",708,"Negative"
"FH102_02",718,"Negative"
"FH102_02",724,"Negative"
"FH102_02",767,"Negative"
"FH102_02",775,"Negative"
"FH102_02",782,"Negative"
"FH102_02",796,"Negative"
"FH102_02",798,"Negative"
"FH102_02",800,"Negative"
"FH102_02",801,"Negative"
"FH102_02",802,"Negative"
"FH102_02",803,"Negative"
"FH102_02",804,"Negative"
"FH102_02",807,"Negative"
"FH102_02",809,"Negative"
"FH102_02",813,"Negative"
"FH102_02",814,"Negative"
"FH102_02",815,"Negative"
"FH102_02",819,"Negative"
"FH102_02",820,"Negative"
"FH102_02",824,"Negative"
"FH102_02",825,"Negative"
"FH102_02",829,"Negative"
"FH102_02",831,"Negative"
"FH102_02",833,"Negative"
"FH102_02",840,"Negative"
"FH102_02",842,"Negative"
"FH102_02",844,"Negative"
"FH102_02",845,"Negative"
"FH102_02",848,"Negative"
"FH102_02",849,"Negative"
"FH102_02",919,"Negative"
"FH102_02",943,"Negative"
"FH102_02",945,"Negative"
"FH102_02",964,"Negative"
"FH102_02",969,"Negative"
"FH102_02",980,"Negative"
"FH102_02",982,"Negative"
"FH102_02",984,"Positive"
"FH102_02",985,"Positive"
"FH102_02",986,"Positive"
"FH102_02",987,"Negative"
"FH102_02",993,"Negative"
"FH102_02",1017,"Positive"
"FH102_02",1018,"Positive"
"FH102_02",1019,"Positive"
"FH102_02",1020,"Positive"
"FH102_02",1021,"Positive"
"FH102_02",1022,"Positive"
"FH102_02",1023,"Positive"
"FH102_02",1024,"Positive"
"FH102_02",1025,"Positive"
"FH102_02",1026,"Positive"
"FH102_02",1030,"Negative"
"FH102_02",1031,"Negative"
"FH102_02",1032,"Negative"
"FH102_02",1033,"Negative"
"FH102_02",1034,"Negative"
"FH102_02",1035,"Negative"
"FH102_02",1046,"Negative"
"FH102_02",1096,"Negative"
"FH102_02",1100,"Negative"
"FH102_02",1102,"Negative"
"FH102_02",1104,"Negative"
"FH102_02",1107,"Negative"
"FH102_02",1108,"Negative"
"FH102_02",1146,"Negative"
"FH102_02",1151,"Negative"
"FH102_02",1152,"Negative"
"FH102_02",1154,"Negative"
"FH102_02",1155,"Negative"
"FH102_02",1158,"Negative"
"FH102_02",1160,"Negative"
"FH102_02",1161,"Negative"
"FH102_02",1165,"Negative"
"FH102_02",1199,"Negative"
"FH102_02",1200,"Negative"
"FH102_02",1201,"Negative"
"FH102_02",1204,"Negative"
"FH102_02",1205,"Negative"
"FH102_02",1208,"Negative"
"FH102_02",1209,"Negative"
"FH102_02",1247,"Negative"
"FH102_02",1249,"Negative"
"FH102_02",1261,"Negative"
"FH102_02",1263,"Negative"
"FH102_02",1266,"Negative"
"FH102_02",1267,"Negative"
"FH102_02",1268,"Negative"
"FH102_02",1277,"Negative"
"FH102_02",1288,"Negative"
"FH102_02",1291,"Negative"
"FH102_02",1295,"Negative"
"FH102_02",1296,"Negative"
"FH102_02",1297,"Negative"
"FH102_02",1298,"Negative"
"FH102_02",1299,"Negative"
"FH102_02",1308,"Negative"
"FH102_02",1313,"Negative"
"FH102_02",1315,"Negative"
"FH102_02",1325,"Negative"
"FH102_02",1326,"Negative"
"FH102_02",1335,"Negative"
"FH102_02",1354,"Positive"
"FH102_02",1355,"Positive"
"FH102_02",1356,"Negative"
"FH102_02",1357,"Negative"
"FH102_02",1473,"Negative"
"FH102_02",1475,"Negative"
"FH102_02",1484,"Positive"
"FH102_02",1485,"Positive"
"FH102_02",1486,"Negative"
"FH102_02",1487,"Negative"
"FH102_02",1488,"Negative"
"FH102_02",1489,"Negative"
"FH102_02",1490,"Negative"
"FH102_02",1492,"Negative"
"FH102_02",1519,"Negative"
"FH102_02",1520,"Negative"
"FH102_02",1521,"Negative"
"FH102_02",1522,"Negative"
"FH102_02",1524,"Negative"
"FH102_02",1541,"Negative"
"FH102_02",1574,"Negative"
"FH102_02",1668,"Negative"
"FH102_02",1678,"Negative"
"FH102_02",1682,"Negative"
"FH102_02",1684,"Negative"
"FH102_02",1701,"Negative"
"FH102_02",1706,"Negative"
"FH102_02",1707,"Negative"
"FH102_02",1756,"Negative"
"FH102_02",1762,"Negative"
"FH102_02",1763,"Negative"
"FH102_02",1819,"Negative"
"FH102_02",1820,"Positive"
"FH102_02",1821,"Negative"
"FH102_02",1995,"Negative"
"FH102_02",2002,"Negative"
"FH102_02",2005,"Negative"
"FH102_02",2006,"Negative"
"FH102_02",2007,"Negative"
"FH102_02",2008,"Negative"
"FH102_02",2012,"Negative"
"FH102_02",2029,"Negative"
"FH102_02",2044,"Negative"
"FH102_02",2048,"Negative"
"FH102_02",2049,"Negative"
"FH102_02",2051,"Negative"
"FH102_02",2053,"Negative"
"FH102_02",2054,"Negative"
"FH102_02",2055,"Negative"
"FH102_02",2060,"Negative"
"FH102_02",2061,"Negative"
"FH102_02",2063,"Negative"
"FH102_02",2064,"Negative"
"FH102_02",2070,"Negative"
"FH102_02",2075,"Negative"
"FH102_02",2076,"Negative"
"FH102_02",2077,"Negative"
"FH102_02",2078,"Negative"
"FH102_02",2079,"Negative"
"FH102_02",2081,"Negative"
"FH102_02",2086,"Negative"
"FH102_02",2090,"Negative"
"FH102_02",2095,"Negative"
"FH102_02",2109,"Negative"
"FH102_02",2120,"Negative"
"FH102_02",2148,"Negative"
"FH102_02",2150,"Negative"
"FH102_02",2157,"Negative"
"FH102_02",2161,"Negative"
"FH102_02",2162,"Negative"
"FH102_02",2163,"Negative"
"FH102_02",2164,"Negative"
"FH102_02",2175,"Negative"
"FH102_02",2185,"Negative"
"FH102_02",2195,"Negative"
"FH102_02",2205,"Negative"
"FH102_02",2206,"Negative"
"FH102_02",2210,"Negative"
"FH102_02",2214,"Negative"
"FH102_02",2215,"Negative"
"FH102_02",2216,"Negative"
"FH102_02",2218,"Negative"
"FH102_02",2224,"Negative"
"FH102_02",2230,"Negative"
"FH102_02",2241,"Negative"
"FH102_02",2247,"Negative"
"FH102_02",2253,"Negative"
"FH102_02",2271,"Negative"
"FH102_02",2273,"Negative"
"FH102_02",2277,"Negative"
"FH102_02",2280,"Negative"
"FH102_02",2281,"Negative"
"FH102_02",2286,"Negative"
"FH102_02",2295,"Negative"
"FH102_02",2297,"Negative"
"FH102_02",2311,"Negative"
"FH102_02",2317,"Negative"
"FH102_02",2320,"Negative"
"FH102_02",2323,"Negative"
"FH102_02",2325,"Negative"
"FH102_02",2336,"Negative"
"FH102_02",2339,"Negative"
"FH102_02",2352,"Negative"
"FH102_02",2369,"Negative"
"FH102_02",2370,"Negative"
"FH102_02",2377,"Negative"
"FH102_02",2380,"Negative"
"FH102_02",2381,"Negative"
"FH102_02",2386,"Negative"
"FH102_02",2388,"Negative"
"FH102_02",2389,"Negative"
"FH102_02",2392,"Negative"
"FH102_02",2394,"Negative"
"FH102_02",2405,"Negative"
"FH102_02",2406,"Negative"
"FH102_02",2410,"Negative"
"FH102_02",2412,"Negative"
"FH102_02",2413,"Negative"
"FH102_02",2414,"Negative"
"FH102_02",2425,"Negative"
"FH102_02",2428,"Negative"
"FH102_02",2431,"Negative"
"FH102_02",2432,"Negative"
"FH102_02",2436,"Negative"
"FH102_02",2440,"Negative"
"FH102_02",2443,"Negative"
"FH102_02",2445,"Negative"
"FH102_02",2454,"Negative"
"FH102_02",2463,"Negative"
"FH102_02",2480,"Negative"
"FH102_02",2483,"Negative"
"FH102_02",2487,"Negative"
"FH102_02",2488,"Negative"
"FH102_02",2492,"Negative"
"FH102_02",2634,"Negative"
"FH102_02",2639,"Negative"
"FH102_02",2652,"Negative"
"FH102_02",2654,"Negative"
"FH102_02",2667,"Negative"
"FH102_02",2672,"Negative"
"FH102_02",2712,"Negative"
"FH102_02",2742,"Negative"
"FH102_02",2760,"Negative"
"FH102_02",2800,"Negative"
"FH102_02",2818,"Negative"
"FH102_02",2855,"Negative"
"FH102_02",2903,"Positive"
"FH102_02",2904,"Positive"
"FH102_02",2985,"Negative"
"FH102_02",2987,"Negative"
"FH102_02",2996,"Negative"
"FH102_02",3010,"Negative"
"FH102_02",3012,"Negative"
"FH102_02",3016,"Negative"
"FH102_02",3027,"Negative"
"FH102_02",3028,"Negative"
"FH102_02",3033,"Negative"
"FH102_02",3034,"Negative"
"FH102_02",3038,"Negative"
"FH102_02",3041,"Negative"
"FH102_02",3043,"Negative"
"FH102_02",3045,"Negative"
"FH102_02",3049,"Negative"
"FH102_02",3054,"Negative"
"FH102_02",3055,"Negative"
"FH102_02",3058,"Negative"
"FH102_02",3062,"Negative"
"FH102_02",3066,"Negative"
"FH102_02",3073,"Negative"
"FH102_02",3078,"Negative"
"FH102_02",3083,"Negative"
"FH102_02",3208,"Negative"
"FH102_02",3245,"Negative"
"FH102_02",3315,"Negative"
"FH102_02",3350,"Negative"
"FH102_02",3365,"Negative"
"FH102_02",3373,"Negative"
"FH102_02",3385,"Negative"
"FH102_02",3392,"Negative"
"FH102_02",3396,"Negative"
"FH102_02",3397,"Negative"
"FH102_02",3401,"Negative"
"FH102_02",3418,"Negative"
"FH102_02",3516,"Negative"
"FH102_02",3568,"Negative"
"FH102_02",3573,"Negative"
"FH102_02",3581,"Negative"
"FH102_02",3607,"Negative"
"FH102_02",3746,"Negative"
"FH102_02",3801,"Negative"
"FH102_02",3927,"Negative"
"FH102_02",3929,"Negative"
"FH102_02",3933,"Negative"
"FH102_02",3935,"Negative"
"FH102_02",3985,"Negative"
"FH102_02",3999,"Negative"
"FH102_02",4107,"Negative"
"FH102_02",4109,"Negative"
"FH102_02",4111,"Negative"
"FH102_02",4113,"Negative"
"FH102_02",4144,"Negative"
"FH102_02",4164,"Negative"
"FH102_02",4173,"Negative"
"FH102_02",4192,"Negative"
"FH102_02",4305,"Negative"
"FH102_02",4373,"Negative"
"FH102_02",4376,"Negative"
"FH102_02",4379,"Negative"
"FH102_02",4394,"Negative"
"FH102_02",4413,"Negative"
"FH102_02",4417,"Negative"
"FH102_02",4437,"Negative"
"FH102_02",4442,"Negative"
"FH102_02",4470,"Negative"
"FH102_02",4477,"Negative"
"FH102_02",4482,"Negative"
"FH102_02",4487,"Negative"
"FH102_02",4491,"Negative"
"FH102_02",4502,"Negative"
"FH102_02",4503,"Negative"
"FH102_02",4504,"Negative"
"FH102_02",4505,"Negative"
"FH102_02",4518,"Negative"
"FH102_02",4520,"Negative"
"FH102_02",4523,"Negative"
"FH102_02",4539,"Negative"
"FH102_02",4582,"Negative"
"FH102_02",4589,"Negative"
"FH102_02",4590,"Negative"
"FH102_02",4591,"Negative"
"FH102_02",4593,"Negative"
"FH102_02",4646,"Negative"
"FH102_02",4651,"Negative"
"FH102_02",4652,"Negative"
"FH102_02",4653,"Negative"
"FH102_02",4654,"Negative"
"FH102_02",4658,"Negative"
"FH102_02",4662,"Negative"
"FH102_02",4664,"Negative"
"FH102_02",4669,"Negative"
"FH102_02",4670,"Negative"
"FH102_02",4671,"Negative"
"FH102_02",4672,"Negative"
"FH102_02",4673,"Negative"
"FH102_02",4674,"Negative"
"FH102_02",4675,"Negative"
"FH102_02",4676,"Negative"
"FH102_02",4681,"Negative"
"FH102_02",4682,"Negative"
"FH102_02",4685,"Negative"
"FH102_02",4686,"Negative"
"FH102_02",4688,"Negative"
"FH102_02",4692,"Negative"
"FH102_02",4693,"Negative"
"FH102_02",4719,"Negative"
"FH102_02",4735,"Negative"
"FH102_02",4736,"Negative"
"FH102_02",4745,"Negative"
"FH102_02",4747,"Negative"
"FH102_02",4748,"Negative"
"FH102_02",4749,"Negative"
"FH102_02",4753,"Negative"
"FH102_02",4754,"Negative"
"FH102_02",4761,"Negative"
"FH102_02",4763,"Negative"
"FH102_02",4768,"Negative"
"FH102_02",4782,"Negative"
"FH102_02",4786,"Negative"
"FH102_02",4787,"Negative"
"FH102_02",4790,"Negative"
"FH102_02",4796,"Negative"
"FH102_02",4804,"Negative"
"FH102_02",4811,"Negative"
"FH102_02",4823,"Negative"
"FH102_02",4824,"Negative"
"FH102_02",4828,"Negative"
"FH102_02",4831,"Negative"
"FH102_02",4835,"Negative"
"FH102_02",4837,"Negative"
"FH102_02",4839,"Negative"
"FH102_02",4840,"Negative"
"FH102_02",4842,"Negative"
"FH102_02",4843,"Negative"
"FH102_02",4844,"Negative"
"FH102_02",4845,"Negative"
"FH102_02",4848,"Negative"
"FH102_02",4850,"Negative"
"FH102_02",4851,"Negative"
"FH102_02",4852,"Negative"
"FH102_02",4861,"Negative"
"FH102_02",4862,"Negative"
"FH102_02",4865,"Negative"
"FH102_02",4869,"Negative"
"FH102_02",4871,"Negative"
"FH102_02",4875,"Negative"
"FH102_02",4876,"Negative"
"FH102_02",4882,"Negative"
"FH102_02",4890,"Negative"
"FH102_02",4912,"Negative"
"FH102_02",4929,"Negative"
"FH102_02",4931,"Negative"
"FH102_02",4936,"Negative"
"FH102_02",4938,"Negative"
"FH102_02",4956,"Negative"
"FH102_02",4985,"Negative"
"FH102_02",4987,"Negative"
"FH102_02",4990,"Negative"
"FH102_02",5054,"Negative"
"FH102_02",5057,"Negative"
"FH102_02",5069,"Negative"
"FH102_02",5071,"Negative"
"FH102_02",5075,"Negative"
"FH102_02",5078,"Negative"
"FH102_02",5086,"Negative"
"FH102_02",5091,"Negative"
"FH102_02",5093,"Negative"
"FH102_02",5106,"Negative"
"FH102_02",5107,"Negative"
"FH102_02",5114,"Negative"
"FH102_02",5115,"Negative"
"FH102_02",5116,"Negative"
"FH102_02",5117,"Negative"
"FH102_02",5118,"Negative"
"FH102_02",5119,"Negative"
"FH102_02",5120,"Negative"
"FH102_02",5121,"Negative"
